sale_price,lot_area,overall_qual,year_built,roof_style,mas_vnr_area,total_bsmt_sf,central_air,garage_area,misc_val
215000,31770,6,1960,Hip,112,1080,Y,528,0
105000,11622,5,1961,Gable,0,882,Y,730,0
172000,14267,6,1958,Hip,108,1329,Y,312,12500
244000,11160,7,1968,Hip,0,2110,Y,522,0
189900,13830,5,1997,Gable,0,928,Y,482,0
195500,9978,6,1998,Gable,20,926,Y,470,0
213500,4920,8,2001,Gable,0,1338,Y,582,0
191500,5005,8,1992,Gable,0,1280,Y,506,0
236500,5389,8,1995,Gable,0,1595,Y,608,0
189000,7500,7,1999,Gable,0,994,Y,442,0
175900,10000,6,1993,Gable,0,763,Y,440,0
185000,7980,6,1992,Gable,0,1168,Y,420,500
180400,8402,6,1998,Gable,0,789,Y,393,0
171500,10176,7,1990,Gable,0,1300,Y,506,0
212000,6820,8,1985,Gable,0,1488,Y,528,0
538000,53504,8,2003,Hip,603,1650,Y,841,0
164000,12134,8,1988,Gable,0,559,Y,492,0
394432,11394,9,2010,Hip,350,1856,Y,834,0
141000,19138,4,1951,Gable,0,864,Y,400,0
210000,13175,6,1978,Gable,119,1542,Y,500,0
190000,11751,6,1977,Hip,480,1844,Y,546,0
170000,10625,7,1974,Gable,81,1053,Y,528,0
216000,7500,7,2000,Gable,0,814,Y,663,0
149000,11241,6,1970,Gable,180,1004,Y,480,700
149900,12537,5,1971,Gable,0,1078,Y,500,0
142000,8450,5,1968,Gable,0,1056,Y,304,0
126000,8400,4,1970,Gable,0,882,Y,525,0
115000,10500,4,1971,Gable,0,864,Y,0,0
184000,5858,7,1999,Gable,0,1405,Y,511,0
96000,1680,6,1971,Gable,504,483,Y,264,0
105500,1680,5,1971,Gable,492,525,Y,320,0
88000,1680,6,1971,Gable,381,525,Y,264,0
127500,4043,6,1977,Gable,0,1069,Y,440,0
149900,2280,6,1975,Gable,0,855,Y,440,0
120000,2280,7,1975,Gable,0,836,Y,308,0
146000,2280,6,1978,Gable,0,855,Y,440,0
376162,12858,9,2009,Gable,162,1590,Y,751,0
306000,11478,8,2007,Gable,200,1704,Y,772,0
395192,10159,9,2009,Hip,450,1930,Y,606,0
290941,12883,8,2009,Gable,256,1544,Y,868,0
220000,12182,7,2005,Gable,226,1541,Y,532,0
275000,11520,9,2005,Hip,615,1698,Y,730,0
259000,14122,8,2005,Hip,240,1822,Y,678,0
214000,10171,7,2004,Gable,168,1517,Y,532,0
611657,12919,9,2009,Hip,760,2330,Y,820,0
224000,6371,7,2009,Gable,128,1358,Y,484,0
500000,14300,9,2003,Hip,1095,2846,Y,958,0
320000,13650,8,2002,Gable,232,1671,Y,756,0
319900,7658,9,2005,Hip,412,1752,Y,576,0
205000,7132,8,2006,Gable,178,1370,Y,484,0
175500,2628,7,2003,Gable,106,764,Y,474,0
199500,18494,6,2005,Gable,0,1324,Y,430,0
160000,3203,7,2006,Gable,14,1145,Y,437,0
192000,3182,8,2004,Gable,16,1256,Y,430,0
184500,13300,7,2004,Gable,0,384,Y,400,0
185088,8577,7,2004,Gable,0,847,Y,433,0
180000,7750,7,2000,Gable,0,384,Y,400,0
222500,9505,7,2001,Gable,180,884,Y,434,0
333168,14774,9,1999,Gable,165,1393,Y,779,0
355000,17433,8,1998,Hip,114,1629,Y,962,0
260400,10593,7,1996,Hip,338,1720,Y,527,0
325000,12256,8,1994,Gable,362,1463,Y,712,0
290000,11764,8,1999,Gable,348,1152,Y,671,0
221000,16770,7,1998,Gable,30,1195,Y,486,0
410000,14720,8,1995,Hip,579,2033,Y,666,0
221500,8987,8,2005,Gable,226,1595,Y,880,0
204500,9215,7,2009,Hip,0,1218,Y,676,0
215200,8640,7,2009,Gable,0,756,Y,614,0
262500,9000,8,2008,Gable,36,1566,Y,750,0
254900,12552,7,2004,Gable,0,991,Y,678,0
